cn_id,hateSpeech,counterSpeech,hsType,hsSubType,cnType,age,gender,educationLevel
ENT1ST0001HS0033CN000021,Los niños Downy deberían ser aislados en escuelas especiales por su propio interés.,Los niños con discapacidad deben ser aceptados sin discriminación.,Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000021P1,Los niños con dificultades de aprendizaje deben ser excluidos de la educación porque no pertenecen a la escuela.,"Ningún niño debería ser excluido de la escuela por ningún motivo, independientemente de su situación.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000021P2,Los discapacitados mentales no deberían poder votar. Son una carga para la sociedad.,La gente tiene derecho a votar. Forma parte de nuestro sistema democrático. No quisiera restringir ese derecho a nadie.,Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000022,Los discapacitados mentales están jodidos. Sufren una lesión cerebral y no pueden funcionar en el trabajo.,"Aunque algunos discapacitados mentales estén ""jodidos"", como usted amablemente ha dicho, al menos deberíamos reconocer que son humanos. Afirmar que no lo son es tratarlos como animales.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000022P1,Los discapacitados mentales son un desastre.,"¿Qué quiere decir con ""estropeado""? Muchos de nosotros también estamos ""jodidos"". Así que, o todos estamos ""jodidos"" porque hay algunos que lo afirman, o nadie lo está. Yo preferiría la segunda opción.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000022P2,Los autistas son un problema en nuestra sociedad.,"¿Por qué cree que es un problema? Dudo que ningún autista sea un problema en sí, pero, para los discapacitados, la vida cotidiana no inclusiva sí lo es.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000023,Todos estos autistas ponen en peligro nuestra sociedad.,Me gustaría que se redujeran los casos de discriminación contra los autistas. No son ningún peligro.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0033CN000023P1,Los autistas son una carga para la sociedad.,No deberíamos ser tan duros con los autistas. Sus dificultades pueden mitigarse con una sociedad más integradora.,Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0033CN000023P2,Los autistas son inferiores.,"Las pruebas de que los autistas son inferiores son escasas: se suele decir que los autistas tienen talentos únicos, que poseen capacidades especiales y que la única diferencia está en sus interacciones sociales.",Islamophobia,crimes,"facts , hypocrisy",61,male,Bachelor
ENT1ST0001HS0033CN000024,Los discapacitados físicos están enfadados y son unos inútiles.,Al menos son muy conscientes de los efectos negativos de la injusta discriminación sobre ellos y sobre las personas con otras discapacidades.,Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000024P1,Los discapacitados son infrahumanos y sólo merecen desprecio y burla.,"La expresión ""subhumano"" se ha forzado para significar ""de un determinado tipo de cuerpo"", lo que, en mi opinión, trivializa y desestima los graves problemas a los que se enfrentan las personas de un determinado tipo de cuerpo.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0033CN000024P2,Sería mejor para nuestra sociedad que los discapacitados físicos no vivieran su antigüedad.,"Esto no es cierto. Más bien, si se piensa bien, muchas personas discapacitadas vivirán hasta finales de los 70, si no padecen demencia o desequilibrios endocrinos. Y su contribución a nuestra sociedad es innegable.",Islamophobia,crimes,facts,61,male,Bachelor
ENT1ST0001HS0046CN000014,Los discapacitados físicos merecen ser utilizados.,"Es importante reconocer que hay personas que sufren discapacidades físicas. Además, en muchas sociedades, la condición física de una persona es un motivo de discriminación.",Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000014P1,Los niños con dificultades de aprendizaje deben ser excluidos de la educación porque no pertenecen a ella.,"Los niños con dificultades de aprendizaje pueden contribuir a la sociedad, por lo que deben formar parte de la educación.",Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000014P2,Hay que dejar de fingir que los discapacitados son como nosotros. Son la raíz de la mayoría de los problemas humanos.,"Creo que todos nacemos con fortalezas y debilidades inherentes, pero esas nociones limitadas de lo que es ser ""humano"" han sido la base de un montón de problemas...",Islamophobia,crimes,facts,25,male,Bachelor
ENT1ST0001HS0046CN000015,Los discapacitados deben quedar fuera del sistema educativo por sus deficiencias. Nunca alcanzarán los objetivos de su vida.,"Los discapacitados, al menos en lo que respecta a la asistencia a la escuela, el gasto en educación y el empleo, siguen recibiendo mucha menos atención que otras personas, y por eso muchos no alcanzan sus objetivos vitales.",Islamophobia,crimes,facts,21,female,Master
ENT1ST0001HS0046CN000015P1,"¿Y los psicópatas? ¿Como los locos, los chiflados de cabeza y demás? ¿No estarían mejor muertos?","Hay personas que padecen enfermedades mentales como esquizofrenia, trastorno bipolar y trastornos del espectro autista. El hecho de que algunas personas padezcan enfermedades no significa que estén mejor muertas.",Islamophobia,crimes,facts,21,female,Master
ENT1ST0001HS0046CN000015P2,Hay que disuadir a las personas con dificultades de aprendizaje de asistir a la escuela primaria y excluirlas de la educación.,"Para que quede absolutamente claro, las dificultades de aprendizaje no impiden que una persona asista a la escuela, sino que forman parte integrante del proceso educativo.",Islamophobia,crimes,facts,21,female,Master
ENT1ST0001HS0046CN000016,Los autistas son un problema: ¿por qué no hay que aislarlos?,"Creo que es importante que todas las personas conozcan y comprendan a personas con necesidades y puntos fuertes diferentes, y lo mismo debería ocurrir con los autistas.",Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0046CN000016P1,Los discapacitados mentales son crédulos y no tienen cerebro para tomar decisiones racionales.,Una persona puede tener un trastorno mental diagnosticable y seguir siendo racional e inteligente.,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0046CN000016P2,Los discapacitados mentales son crédulos.,No debemos juzgar a las personas por su salud mental. No es una cuestión de elección para ellos.,Islamophobia,crimes,question,25,male,Master
ENT1ST0001HS0046CN000017,Los discapacitados físicos nacen para que se burlen de ellos.,"Ser discapacitado físico o mental no es un ""atributo burlón"". Es sólo una característica que no debe afectar al trato que se da a las personas.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
ENT1ST0001HS0046CN000017P1,Las dificultades de aprendizaje no son más que una excusa para los niños vagos o estúpidos: hay que desincentivarlas en las escuelas.,"Las dificultades de aprendizaje, independientemente de su origen, son reales y hay que abordarlas para que la persona que las padece tenga las mismas oportunidades de aprendizaje que los demás.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
ENT1ST0001HS0046CN000017P2,"Los niños con síndrome de Down deben ser aislados, porque en cualquier caso los niños normales les harían sentirse diferentes.","Al segregarlos, se les discrimina. Al crear un entorno diverso, se crea una situación más inclusiva e igualitaria.",Islamophobia,crimes,hypocrisy,25,male,Bachelor
